Release Year,ID,Name
1940,6134,Young Buffalo Bill
1940,6135,Grandpa Goes to Town
1959,6136,Houndabout
1940,6138,Lights Out in Europe
1940,6139,Cowboy from Sundown
1959,6139,La Petite Parade
1940,6140,Pals of the Silver Sage
1940,6141,The Chewin' Bruin
1940,6142,Terry and the Pirates
1940,6142,Terry and the Pirates [Chapter 1: Into the Great Unknown]
1940,6143,Terry and the Pirates [Chapter 2: The Fang Strikes]
1940,6144,Terry and the Pirates [Chapter 3: The Mountain of Death]
1959,6144,The Animal Fair
1940,6145,Terry and the Pirates [Chapter 4: The Dragon Queen Threatens]
1959,6146,Huey's Father's Day
1940,6146,Terry and the Pirates [Chapter 5: At the Mercy of a Mob]
1940,6147,Terry and the Pirates [Chapter 6: The Scroll of Wealth]
1940,6148,Terry and the Pirates [Chapter 7: Angry Waters]
1959,6149,Not Ghoulty
1940,6149,Terry and the Pirates [Chapter 8: The Tomb of Peril]
1940,6150,Terry and the Pirates [Chapter 9: Jungle Hurricane]
1940,6151,Terry and the Pirates [Chapter 10: Too Many Enemies]
1940,6152,Terry and the Pirates [Chapter 11: Walls of Doom]
1940,6153,Terry and the Pirates [Chapter 12: No Escape]
1940,6154,Terry and the Pirates [Chapter 13: The Fatal Mistake]
1940,6155,Terry and the Pirates [Chapter 14: Pyre of Death]
1940,6156,Terry and the Pirates [Chapter 15: The Secret of the Temple]
1940,6159,"The Capital City: Washington, D.C."
1959,6165,Casper's Birthday Party
1940,6167,From Nurse to Worse
1940,6168,Waterloo Bridge
1940,6169,La Conga Nights
1940,6170,Adventures of Red Ryder
1940,6170,Adventures of Red Ryder [Chapter 1: Murder on the Santa Fe Trail]
1940,6171,Adventures of Red Ryder [Chapter 2: Horsemen of Death]
1959,6171,Katnip's Big Day
1940,6172,Adventures of Red Ryder [Chapter 3: Trail's End]
1940,6173,Adventures of Red Ryder [Chapter 4: Water Rustlers]
1940,6174,Adventures of Red Ryder [Chapter 5: Avalanche]
1940,6174,Turnabout
1940,6175,Adventures of Red Ryder [Chapter 6: Hangman's Noose]
1940,6176,Adventures of Red Ryder [Chapter 7: Framed]
1940,6177,Adventures of Red Ryder [Chapter 8: Blazing Walls]
1962,6177,Shotgun Shambles
1940,6178,Adventures of Red Ryder [Chapter 9: Records of Doom]
1940,6179,Adventures of Red Ryder [Chapter 10: One Second to Live]
1940,6180,Adventures of Red Ryder [Chapter 11: The Devil's Marksman]
1940,6181,Adventures of Red Ryder [Chapter 12: Frontier Justice]
1940,6182,Son of the Navy
1940,6183,The Man with Nine Lives
1940,6184,Island of Doomed Men
1940,6184,The Egg Collector
1940,6184,The Man from Tumbleweeds
1940,6186,"No Census, No Feeling"
1940,6187,The Lone Wolf Meets a Lady
1940,6191,Fugitive From a Prison Camp
1959,6193,Out of This Whirl
1940,6195,Women in War
1940,6196,Wacky Wildlife
1940,6197,Sky Bandits
1940,6199,Anne of Windy Poplars
1940,6202,Flight Angels
1940,6203,Brother Orchid
1940,6204,Knute Rockne All American
1960,6204,The Boss Is Always Right
1940,6208,20 Mule Team
1940,6210,Pinto Canyon
1960,6211,Fiddle Faddle
1940,6212,The Crooked Road
1940,6213,Patient Porky
1940,6214,Girl in 313
1940,6215,Manhattan Heartbeat
1940,6216,"Edison, the Man"
1941,6217,Mr. Washington Goes to Town
1960,6218,Trouble Date
1940,6220,I Want a Divorce
1940,6221,Gangs of Chicago
1933,6222,Let's Fall in Love
1940,6223,Sandy Is a Lady
1940,6224,"I Can't Give You Anything But Love, Baby"
1960,6224,Trigger Treat
1940,6225,Ski Patrol
1940,6226,Bad Man from Red Butte
1960,6227,From Dime to Dime
1940,6227,Tomboy
1940,6228,Gaucho Serenade
1944,6229,Nostradamus IV
1940,6230,The Mortal Storm
1940,6231,Prairie Law
1940,6232,Young People
1940,6233,Four Sons
1960,6233,Silly Science
1940,6234,Public Deb No. 1
1940,6235,Pride and Prejudice
1940,6236,Mr. Mouse Takes a Trip
1940,6237,Window Cleaners
1940,6238,The Kid from Santa Fe
1940,6239,Three Faces West
1940,6240,Lucky Partners
1940,6241,Pop Always Pays
1940,6242,If I Had My Way
1940,6244,Fire Chief
1940,6246,Susan and God
1940,6247,"Dance, Girl, Dance"
1940,6249,The Villain Still Pursued Her
1940,6250,Riders from Nowhere
1940,6251,Millionaires in Prison
1940,6252,Girl from Avenue A
1940,6253,Pier 13
1940,6254,Street of Memories
1940,6256,Andy Hardy Meets Debutante
1960,6258,Counter Attack
1940,6259,A Night at Earl Carroll's
1940,6260,The Texas Rangers Ride Again
1940,6261,North West Mounted Police
1940,6262,Cross-Country Romance
1941,6264,The Fighting 69½th
1940,6265,Shop Look & Listen
1940,6266,Of Fox and Hounds
1940,6267,Rocky Mountain Rangers
1940,6268,Good Night Elmer
1940,6269,Pony Express Days
1960,6269,The Mysterious Package
1940,6271,Babies for Sale
1940,6272,Arizona
1940,6273,Out West with the Peppers
1940,6274,West of Abilene
1940,6275,The Return of Wild Bill
1940,6276,My Love Came Back
1940,6277,The Man Who Talked Too Much
1940,6278,They Drive by Night
1940,6279,No Time for Comedy
1937,6280,Busman's Holiday
1940,6280,Busman's Honeymoon
1940,6281,Nutty But Nice
1940,6282,Rangers of Fortune
1940,6283,Dancing on a Dime
1940,6284,Wild Horse Range
1942,6285,Half Way to Shanghai
1940,6285,"Love, Honor and Oh Baby!"
1940,6287,South to Karanga
1940,6289,Dreaming Out Loud
1940,6290,I Take This Oath
1940,6291,Wagons Westward
1940,6295,Grand Ole Opry
1960,6297,Bouncing Benny
1940,6297,Frontier Crusader
1940,6299,Land of the Six Guns
1940,6303,The Captain Is a Lady
1961,6303,The Kid from Mars
1940,6304,Phantom Raiders
1940,6310,Tom Turkey and His Harmonica Humdingers
1961,6311,The Lion's Busy
1961,6314,Alvin's Solo Flight
1961,6315,"Goodie, the Gremlin"
1940,6317,Hot Steel
1940,6320,The Spook Speaks
1961,6322,In the Nicotine
1961,6323,The Inquisit Visit
1940,6324,Comin' Round the Mountain
1940,6325,Mystery Sea Raider
1940,6326,Rhythm on the River
1940,6327,Victory
1940,6329,Brigham Young
1940,6330,The Return of Frank James
1940,6331,The Man I Married
1940,6332,Money and the Woman
1940,6333,A Dispatch from Reuter's
1940,6334,River's End
1961,6335,Bopin' Hood
1940,6336,The Carson City Kid
1940,6338,The Great Plane Robbery
1939,6339,On the Night of the Fire
1941,6340,Elmer's Pet Rabbit
1941,6341,"Joe Glow, the Firefly"
1941,6342,Porky's Bear Facts
1940,6343,You're Not So Tough
1961,6344,Abner the Baseball
1940,6344,Stage to Chino
1961,6345,The Plot Sickens
1940,6347,Scatterbrain
1940,6349,South of Pago Pago
1962,6350,Crumley Cogwheel
1940,6350,While Thousands Cheer
1940,6351,Boom Town
1961,6352,Cane and Able
1940,6353,Dr. Christian Meets the Women
1940,6357,Private Affairs
1940,6358,Gold Rush Maisie
1962,6361,Popcorn and Politics
1940,6362,One Man's Law
1940,6364,On the Spot
1940,6366,Am I Guilty?
1940,6367,Strike Up the Band
1940,6368,Hold That Woman!
1940,6369,Girl from God's Country
1940,6370,Men Against the Sky
1940,6371,We Who Are Young
1940,6372,Black Diamonds
1962,6373,Hi Fi Jinx
1940,6373,One Crowded Night
1940,6374,Carolina Moon
1940,6375,Three Men from Texas
1940,6377,Sporting Blood
1962,6379,Yule Laff
1940,6381,The Golden Trail
1962,6382,Robot Ringer
1940,6382,The Bride Wore Crutches
1940,6383,Charlie Chan at the Wax Museum
1940,6384,The Gay Caballero
1940,6385,Cookoo Cavaliers
1962,6386,One of the Family
1962,6387,It's for the Birdies
1940,6389,The Last Alarm
1962,6390,Fiddlin' Around
1940,6390,I Love You Again
1941,6391,Pluto's Playmate
1963,6392,Drum Up a Tenant
1941,6392,The Little Whirlwind
1940,6394,The Sour Puss
1962,6395,Frog's Legs
1933,6396,A Bedtime Story
1940,6397,Girls of the Road
1963,6397,Good Snooze Tonight
1940,6398,Slightly Tempted
1963,6398,Trash Program
1940,6399,Military Academy
1963,6399,One Weak Vacation
1940,6400,Five Little Peppers In Trouble
1940,6401,Blondie Has Servant Trouble
1940,6402,The Lady in Question
1940,6403,He Stayed for Breakfast
1940,6404,The Secret Seven
1940,6405,The Durango Kid
1941,6405,The Pinto Kid
1940,6407,Stranger on the Third Floor
1940,6408,Laddie
1940,6409,Foreign Correspondent
1940,6410,The Long Voyage Home
1940,6411,Diamond Frontier
1940,6412,I'm Nobody's Sweetheart Now
1940,6413,The Flag of Humanity
1940,6414,Christmas in July
1962,6419,Take Me to Your Gen'rul
1940,6420,The Boys from Syracuse
1963,6424,Hound for Pound
1940,6424,"Sing, Dance, Plenty Hot"
1963,6429,Tell Me a Badtime Story
1940,6432,The Ranger and the Lady
1940,6439,Captain Caution
1941,6440,The Cat's Tale
1941,6441,The Haunted Mouse
1940,6442,The Letter
1940,6443,City for Conquest
1940,6444,Tugboat Annie Sails Again
1940,6445,Ladies Must Live
1940,6446,Flowing Gold
1940,6447,Boys of the City
1940,6449,They Knew What They Wanted
1940,6450,Goofy's Glider
1940,6457,The Timid Toreador
1940,6457,The Tulsa Kid
1941,6458,Golden Eggs
1940,6459,Billy the Kid Outlawed
1940,6460,Earl of Puddlestone
1940,6461,Oklahoma Renegades
1940,6462,Triple Justice
1940,6463,Wildcat Bus
1940,6464,Too Many Girls
1940,6466,Gun Code
1940,6467,Rainbow Over the Range
1940,6469,The Great Profile
1941,6470,For Beauty's Sake
1940,6471,Down Argentine Way
1940,6472,The Howards of Virginia
1941,6475,The Hard-Boiled Canary
1940,6476,Moon Over Burma
1940,6477,"Arise, My Love"
1940,6479,Pantry Pirate
1940,6480,Haunted House
1942,6482,The Omaha Trail
1940,6483,The Golden Fleecing
1940,6485,Laughing at Danger
1940,6486,Thundering Frontier
1940,6487,Angels Over Broadway
1940,6488,Before I Hang
1963,6488,Gramps to the Rescue
1940,6489,So You Won't Talk
1963,6489,The Pig's Feat
1940,6491,Ride Tenderfoot Ride
1940,6492,Queen of the Yukon
1940,6495,Dulcy
1940,6496,Son of Roaring Dan
1940,6497,The Mummy's Hand
1940,6498,The Quarterback
1943,6499,Red Hot Riding Hood
1963,6499,The Sheepish Wolf
1940,6500,I'm Still Alive
1940,6501,Escape
1932,6502,Love Me Tonight
1940,6503,Margie
1941,6503,Yumpin' Yimminy!
1963,6504,Hiccup Hound
1940,6505,Doomed to Die
1964,6506,Whiz Quiz Kid
1963,6507,Goodie's Good Deed
1940,6511,Arizona Frontier
1940,6512,Wyoming
1940,6513,When the Daltons Rode
1940,6514,Little Men
1940,6515,Youth Will Be Served
1940,6516,Yesterday's Heroes
1940,6517,Murder Over New York
1940,6518,Charter Pilot
1963,6518,The Critic
1940,6522,Marked Men
1940,6523,Papa Gets the Bird
1940,6524,Love Thy Neighbor
1940,6525,Colorado
1940,6526,The Range Busters
1940,6527,Kit Carson
1941,6529,Dutiful But Dumb
1940,6530,Cherokee Strip
1940,6531,Blondie Plays Cupid
1964,6531,Laddy and His Lamp
1940,6532,Nobody's Children
1964,6533,Brother from Outer Space
1936,6533,Lady Luck
1942,6533,Lucky Ghost
1940,6534,Girl from Havana
1940,6535,Mexican Spitfire Out West
1941,6536,The Crackpot Quail
1941,6537,Porky's Ant
1943,6543,Thank Your Lucky Stars
1964,6549,Panhandling on Madison Avenue
1964,6550,Accidents Will Happen
1964,6551,Fizzicle Fizzle
1964,6552,Sailing Zero
1941,6553,Timber
1940,6554,Wagon Train
1941,6555,Citizen Kane
1941,6557,Honeymoon for Three
1964,6557,Outer Galaxy Gazette
1941,6558,Four Mothers
1940,6559,Santa Fe Trail
1941,6560,Meet John Doe
1964,6560,Robot Rival
1940,6561,Calling All Husbands
1940,6562,East of the River
1941,6563,High Sierra
1964,6565,A Friend in Tweed
1940,6566,Argentine Nights
1964,6566,Fix That Clock
1941,6566,Outlaws of the Panhandle
1940,6567,Ragtime Cowboy Joe
1940,6570,Under Texas Skies
1940,6571,Boobs in Arms
1964,6572,Call Me a Taxi
1940,6572,Dr. Kildare Goes Home
1964,6573,Highway Slobbery
1940,6574,The Leather Pushers
1940,6578,The Green Archer[Chapter 1: Prison Bars Beckon
1964,6579,Hip Hip Ole
1940,6580,You'll Find Out
1940,6581,Law and Order
1964,6585,And So Tibet
1941,6585,Baggage Buster
1965,6586,"Reading, Writhing, and Rithmetic"
1941,6587,A Good Time for a Dime
1940,6589,Arizona Gang Busters
1965,6592,Near-Sighted and Far Out
1940,6592,That Gang of Mine
1941,6593,All the World's a Stooge
1965,6594,A Tiger's Tail
1940,6594,The Philadelphia Story
1941,6595,Cliff Edwards and His Buckaroos
1940,6596,Hit Parade of 1941
1940,6597,The Mark of Zorro
1941,6598,Hudson's Bay
1965,6599,Homer on the Range
1940,6599,Jennie
1940,6600,Chad Hanna
1964,6601,Horning In
1940,6601,Tin Pan Alley
1941,6602,Golden Hoofs
1940,6603,Spring Parade
1940,6604,Hired Wife
1940,6605,The Green Archer[Chapter 2: The Face at the Window
1940,6606,The Green Archer[Chapter 3: The Devil's Dictograph
1940,6607,The Fargo Kid
1940,6608,"No, No, Nanette"
1965,6608,The Story of George Washington
1940,6609,Sky Murder
1965,6611,A Leak in the Dike
1940,6611,The Great Dictator
1940,6612,Little Nellie Kelly
1940,6613,Glamour for Sale
1965,6613,Inferior Decorator
1940,6614,Girls Under 21
1940,6615,The Green Archer[Chapter 4: Vanishing Jewels
1940,6616,The Green Archer[Chapter 5: The Fatal Spark
1940,6617,Pony Post
1941,6619,Toy Trouble
1941,6620,Tortoise Beats Hare
1941,6621,The Trial of Mr. Wolf
1940,6622,Melody and Moonlight
1940,6623,Up in the Air
1965,6625,A Hair-Raising Tale
1940,6625,The Green Archer[Chapter 6: The Necklace of Treachery
1940,6627,Alice in Movieland
1940,6627,Young Bill Hickok
1941,6628,An Ache in Every Stake
1965,6628,Poor Little Witch Girl
1965,6629,The Itch
1940,6631,Frontier Vengeance
1940,6636,Lady with Red Hair
1964,6636,Ocean Bruise
1940,6637,Father Is a Prince
1940,6638,South of Suez
1940,6639,Kitty Foyle: The Natural History of a Woman
1940,6640,Knock Knock
1941,6641,Early to Bed
1941,6642,A Gentleman's Gentleman
1965,6642,Solitary Refinement
1941,6643,Canine Caddy
1964,6643,Shoeflies
1940,6645,The Green Archer[Chapter 7: The Secret Passage
1940,6646,The Green Archer[Chapter 8: Garr Castle Is Robbed
1940,6647,A Little Bit of Heaven
1940,6648,Bitter Sweet
1940,6650,The Son of Monte Cristo
1965,6651,Tally Hokum
1940,6651,The Green Archer[Chapter 9: The Mirror of Treachery
1964,6652,Getting Ahead
1941,6652,I Wanted Wings
1965,6653,The Outside Dope
1940,6655,The Devil's Pipeline
1940,6656,Escape to Glory
1940,6657,The Lone Wolf Keeps a Date
1940,6658,Beyond the Sacramento
1940,6659,Prairie Schooners
1940,6660,"Third Finger, Left Hand"
1966,6661,Sick Transit
1966,6663,Baggin' the Dragon
1940,6664,The Green Archer[Chapter 10: The Dagger That Failed
1940,6665,Trailing Double Trouble
1940,6666,The Green Archer[Chapter 11: The Flaming Arrow
1966,6667,From Nags to Witches
1940,6668,Meet the Wildcat
1966,6668,Trick or Cheat
1940,6669,The Green Archer[Chapter 12: The Devil Dogs
1941,6670,Mr. & Mrs. Smith
1966,6673,Potions and Notions
1940,6676,The Ape
1940,6677,Drums of the Desert
1966,6678,The Defiant Giant
1966,6679,Space Kid
1940,6685,The Green Archer[Chapter 13: The Deceiving Microphone
1940,6688,Who Killed Aunt Maggie?
1940,6689,Friendly Neighbors
1940,6692,Li'l Abner
1940,6695,The Trail Blazers
1966,6696,A Balmy Knight
1966,6697,A Wedding Knight
1941,6698,Porky's Snooze Reel
1966,6698,Throne for a Loss (I)
1940,6699,The Homeless Flea
1940,6700,The Green Archer[Chapter 14: The End of Hope
1941,6703,Let's Make Music
1940,6704,Give Us Wings
1966,6707,Geronimo and Son
1940,6708,Second Chorus
1940,6710,The Green Archer[Chapter 15: The Green Archer Exposed
1940,6711,Hullabaloo
1941,6712,Romance of the Rio Grande
1941,6713,"Ride, Kelly, Ride"
1940,6714,Michael Shayne: Private Detective
1941,6715,Western Union
1941,6716,Play Girl
1940,6717,The Old Swimmin' Hole
1967,6719,The Blacksheep Blacksmith
1940,6720,Remedy for Riches
1967,6720,The Opera Caper
1941,6724,Donald's Camera
1941,6726,"A Girl, a Guy, and a Gob"
1940,6728,Always a Bride
1941,6729,The Wagons Roll at Night
1967,6729,Think or Sink
1941,6730,Flight from Destiny
1967,6731,The Trip (I)
1940,6732,Gallopin' Gals
1940,6733,Take Me Back to Oklahoma
1940,6737,Melody Ranch
1940,6739,Meet the Missus
1940,6740,Texas Terrors
1940,6741,Riders of Black Mountain
1941,6742,You're the One
1941,6743,Porky's Preview
1941,6744,Goofy Groceries
1941,6745,Hiawatha's Rabbit Hunt
1941,6746,Porky's Prize Pony
1967,6747,Clean Sweep
1967,6748,High But Not Dry
1967,6752,My Daddy the Astronaut
1967,6753,Alter Egotist
1967,6757,The Squaw Path
1967,6763,The Plumber
1940,6765,The Wildcat of Tucson
1941,6766,Truant Officer Donald
1940,6767,Dr. Kildare's Crisis
1941,6768,Lend a Paw
1967,6771,Brother Bat
1940,6771,Sandy Gets Her Man
1940,6773,Four Shall Die
1967,6774,Forget-Me-Nuts
1967,6775,The Stuck-Up Wolf
1940,6776,Trail of the Vigilantes
1941,6778,The Monster and the Girl
1940,6779,Phantom of Chinatown
1941,6780,Footsteps in the Dark
1968,6780,"Keep the Cool, Baby"
1940,6781,She Couldn't Say No (II)
1941,6782,The Case of the Black Parrot
1967,6783,A Bridge Grows in Brooklyn
1940,6783,One Night in the Tropics
1940,6785,Barnyard Follies
1940,6786,The Border Legion
1940,6787,"Ellery Queen, Master Detective"
1968,6787,The Fuz
1940,6788,Gallant Sons
1941,6789,The Saint in Palm Springs
1942,6792,The Village Smithy
1941,6793,Old MacDonald Duck
1968,6793,The Mini Squirts
1940,6794,Comrade X
1940,6795,Seven Sinners
1940,6797,Dark Streets of Cairo
1940,6798,Go West
1940,6799,Flight Command
1967,6799,Marvin Digs
1941,6801,The Lady Eve
1941,6802,Reaching for the Sun
1941,6804,Hollywood Steps Out
1968,6807,Mouse Trek
1940,6808,West of Pinto Basin
1941,6809,Dumbo
1941,6810,The Art of Skiing
1942,6811,Pluto at the Zoo
1941,6812,The Art of Self Defense
1941,6816,Zis Boom Bah
1941,6821,The Goose Goes South
1941,6823,The Roundup
1940,6824,The Bank Dick
1940,6825,San Francisco Docks
1941,6831,A Dangerous Game
1941,6834,Inki and the Lion
1940,6835,Rolling Home to Texas
1941,6839,Cheers for Miss Bishop
1940,6841,Behind the News
1940,6841,Lone Star Raiders
1940,6842,Bowery Boy
1941,6843,Farm Frolics
1940,6845,Pride of the Bowery
1941,6845,The Great Lie
1941,6846,Swing It Soldier
1940,6846,This Thing Called Love
1941,6848,Penny Serenade
1940,6849,The Phantom Submarine
1941,6850,The Face Behind the Mask
1941,6859,Along the Rio Grande
1941,6864,The Strawberry Blonde
1941,6866,The Sea Wolf
1941,6867,Father's Son
1941,6869,Road to Zanzibar
1940,6874,Keeping Company
1941,6875,The Reluctant Dragon
1940,6876,Her First Romance
1940,6878,Misbehaving Husbands
1940,6880,Billy the Kid's Gun Justice
1940,6882,Buzzy Rides the Range
1941,6883,Buzzy and the Phantom Pinto
1941,6883,The Wacky Worm
1941,6885,The Wild Man of Borneo
1941,6891,Wyoming Wildcat
1941,6892,Robin Hood of the Pecos
1941,6895,Sniffles Bells the Cat
1940,6897,The Devil Bat
1942,6898,Mickey's Birthday Party
1942,6899,Pluto Junior
1941,6900,Chef Donald
1941,6901,They Met In Argentina
1941,6904,"Tall, Dark and Handsome"
1941,6905,That Night in Rio
1941,6906,Murder Among Friends
1941,6912,Billy the Kid's Range War
1941,6914,Las Vegas Nights
1941,6915,That Hamilton Woman
1941,6917,Come Live with Me
1941,6918,Ridin' on a Rainbow
1941,6920,Adventures of Captain Marvel [Chapter 7: Human Targets]
1941,6921,Adventures of Captain Marvel [Chapter 8: Boomerang]
1941,6924,Sky Raiders [Chapter 1: ]
1941,6925,Sky Raiders [Chapter 2: ]
1941,6926,Sky Raiders [Chapter 3: ]
1941,6927,Sky Raiders [Chapter 4: ]
1941,6928,Sky Raiders [Chapter 5: ]
1941,6929,Sky Raiders [Chapter 6: ]
1941,6930,Sky Raiders [Chapter 7: ]
1941,6931,Sky Raiders [Chapter 8: ]
1941,6932,Sky Raiders [Chapter 9: ]
1941,6933,Sky Raiders [Chapter 10: ]
1941,6934,Sky Raiders [Chapter 11: ]
1941,6934,"We, the Animals - Squeak!"
1941,6940,Dizzy Kitty
1940,6945,The Invisible Woman
1941,6947,Robbers of the Range
1941,6950,The Great Mr. Nobody
1941,6951,Here Comes Happiness
1941,6953,The Lone Rider Rides On
1942,6956,Symphony Hour
1941,6957,Arkansas Judge
1941,6960,Adam Had Four Sons
1941,6962,Kisses for Breakfast
1941,6963,Topper Returns
1941,6964,The Devil and Miss Jones
1941,6965,Scattergood Baines
1941,6968,Billy the Kid's Fighting Pals
1941,6969,The Bad Man
1941,6970,Blonde Inspiration
1941,6971,The Kid's Last Ride
1941,6973,Snow Time for Comedy
1941,6974,The Heckling Hare
1941,6975,Sport Chumpions
1941,6976,Aviation Vacation
1941,6977,Sleepers West
1941,6978,Scotland Yard
1941,6979,Tobacco Road
1941,6980,Ride on Vaquero
1941,6981,Dead Men Tell
1941,6984,One Night in Lisbon
1941,6988,The Rookie Bear
1941,6990,Footlight Fever
1941,6992,Men of Boys Town
1941,6993,Petticoat Politics
1942,6994,The Olympic Champ
1941,6997,That Uncertain Feeling
1941,6999,The Midnight Snack
1941,7000,Little Cesario
1941,7001,Officer Pooch
1941,7003,The Devil Commands
1941,7004,Shadows on the Stairs
1941,7005,The Bride Came C.O.D.
1941,7006,Shining Victory
1941,7008,Thieves Fall Out
1941,7009,Affectionately Yours
1941,7011,Meet the Chump
1941,7020,Back Street
1941,7022,The Phantom Cowboy
1941,7025,Adventure in Washington
1942,7026,The Sleepwalker
1941,7027,Meet John Doughboy
1941,7028,Prairie Pioneers
1941,7029,Buck Privates
1941,7032,Strange Alibi
1941,7033,A Shot in the Dark
1941,7034,Singapore Woman
1941,7041,A Very Young Lady
1941,7042,The Cowboy and the Blonde
1941,7043,The Great American Broadcast
1941,7044,The Trial of Mary Dugan
1941,7045,Meet Boston Blackie
1941,7046,The Lone Wolf Takes a Chance
1941,7047,A Coy Decoy
1941,7048,The Spider Returns
1941,7049,Andy Hardy's Private Secretary
1941,7051,Kiss the Boys Goodbye
1941,7052,Border Vigilantes
1941,7054,City of Missing Girls
1941,7055,A Man Betrayed
1941,7057,Man Made Monster
1941,7058,Rage in Heaven
1941,7062,Those Good Old Days
1941,7071,Flying Wild
1941,7072,Repent at Leisure
1941,7073,The Great Train Robbery
1941,7074,Ziegfeld Girl
1941,7076,All This and Rabbit Stew
1941,7077,Sunny
1941,7078,Porky's Midnight Matinee
1941,7078,Saddle Silly
1941,7079,The Brave Little Bat
1942,7080,"Hop, Skip and a Chump"
1941,7081,Notes to You
1941,7082,The Penalty
1941,7083,Sis Hopkins
1941,7085,Skylark
1941,7089,Pot o' Gold
1941,7090,Sergeant York
1941,7091,Out of the Fog
1941,7092,Three Sons o' Guns
1941,7093,Highway West
1941,7099,Free and Easy
1941,7100,Sign of the Wolf
1941,7101,Nice Girl?
1941,7103,Mr. District Attorney
1941,7104,I'll Never Heil Again
1942,7105,Donald's Gold Mine
1941,7105,Six Lessons from Madame La Zonga
1941,7110,Broadway Limited
1941,7113,Suspicion
1941,7114,Mr. Dynamite
1940,7116,Sailors Three
1941,7122,Back in the Saddle
1941,7123,In Old Cheyenne
1941,7126,A Woman's Face
1942,7130,The Great Man's Lady
1941,7131,West Point Widow
1941,7136,Tom Dick and Harry
1941,7138,Billy the Kid
1941,7139,Hold Back the Dawn
1941,7141,Federal Fugitives
1941,7144,My Life with Caroline
1941,7145,New Wine
1941,7147,Double Date
1941,7148,Jungle Girl
1941,7153,Under Age
1941,7155,Naval Academy
1941,7156,North from the Lone Star
1942,7160,Bellboy Donald
1942,7161,How to Swim
1941,7167,Night of January 16th
1941,7168,Two Gun Sheriff
1941,7173,Woody Woodpecker
1941,7174,Model Wife
1941,7180,Pals of the Pecos
1941,7184,Underground
1941,7188,The Cagey Canary
1942,7189,The Bird Came C.O.D.
1941,7190,The Bug Parade
1941,7192,Blossoms In the Dust
1941,7193,The Nurse's Secret
1941,7195,Rookies On Parade
1941,7196,Manpower
1941,7197,Bad Men of Missouri
1941,7199,Dive Bomber
1941,7200,Yankee Doodle Andy
1941,7201,The Flame of New Orleans
1941,7207,Lady from Louisiana
1941,7208,Horror Island
1941,7209,Gun Cargo
1941,7215,Hold That Ghost
1941,7216,Blood and Sand
1941,7217,Moon Over Miami
1941,7218,Sun Valley Serenade
1941,7219,Man Hunt
1941,7220,Washington Melodrama
1941,7222,Her First Beau
1941,7223,The Return of Daniel Boone
1941,7224,Bedtime Story
1941,7229,Sweetheart of the Campus
1941,7230,The Son of Davy Crockett
1941,7231,Texas
1941,7232,The Singing Hill
1941,7233,Buy Me That Town
1941,7234,The People vs. Dr. Kildare
1941,7236,Blondie in Society
1941,7238,All That Money Can Buy
1941,7239,Mutiny in the Arctic
1941,7241,Parachute Battalion
1941,7243,Invisible Ghost
1941,7247,Cyclone on Horseback
1941,7249,Country Fair
1941,7250,Sheriff of Tombstone
1941,7251,I'll Sell My Life
1941,7269,World Premiere
1941,7271,The Black Cat
1941,7273,Aloma of the South Seas
1941,7274,Accent on Love
1941,7275,Belle Starr
1941,7276,A Yank in the R.A.F.
1941,7277,Private Nurse
1941,7278,Love Crazy
1941,7279,Lady Be Good
1941,7280,The Lone Rider in Ghost Town
1941,7282,Orphans' Benefit
1941,7285,I'll Wait for You
1941,7286,The Gay Vagabond
1941,7289,Lydia
1941,7290,King of the Zombies
1941,7291,Cracked Nuts
1941,7293,Father Takes a Wife
1941,7294,Forty Boys and a Song
1941,7295,Mountain Moonlight
1941,7296,Desert Bandit
1941,7297,Angels with Broken Wings
1941,7297,Bad Men of Missouri
1941,7298,Lady Scarface
1941,7299,Sing Another Chorus
1941,7300,Dude Cowboy
1941,7301,Sea Raiders [Chapter 1: The Raider Strikes]
1941,7302,Sea Raiders [Chapter 2: Flaming Torture]
1941,7303,Sea Raiders [Chapter 3: The Tragic Crash]
1941,7304,Sea Raiders [Chapter 4: The Raider Strikes Again]
1941,7305,Sea Raiders [Chapter 5: Flames of Fury]
1941,7306,Sea Raiders [Chapter 6: Blasted from the Air]
1941,7307,Sea Raiders [Chapter 7: Victims of the Storm]
1941,7308,Sea Raiders [Chapter 8: Dragged to Their Doom]
1941,7309,Sea Raiders [Chapter 9: Battling the Sea Beast]
1941,7310,Sea Raiders [Chapter 10: Periled by a Panther]
1941,7311,Sea Raiders [Chapter 11: Entombed in the Tunnel]
1941,7312,Sea Raiders [Chapter 12: Paying The Penalty]
1941,7313,Redhead
1941,7314,Cuban Rhythm
1941,7316,Emergency Landing
1941,7318,Henry Aldrich for President
1941,7320,Pantry Panic
1941,7321,Saddlemates
1941,7322,The Tanks Are Coming
1942,7324,How to Fish
1941,7325,The Texas Marshal
1941,7326,Unfinished Business
1941,7327,The Henpecked Duck
1941,7330,Birth of the Blues
1941,7332,The Tell-Tale Heart
1941,7333,In the Sweet Pie and Pie
1942,7337,Kings Row
1941,7339,The Shepherd of the Hills
1942,7340,Conrad the Sailor
1941,7341,Dr. Jekyll and Mr. Hyde
1942,7342,Donald Gets Drafted
1941,7343,Bachelor Daddy
1941,7345,They Meet Again
1941,7346,"Hello, Sucker"
1941,7347,Outlaws of the Desert
1943,7348,Criminals Within
